epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,7144.65,1.33376,0.45549,0.00149,0.9319,0.5454,0.74674,0.53385,1.55543,0.57369,0.00236,0.00171092,0.00171092,0.00171092
75,7241.13,1.35066,0.45972,0.00147,0.93434,0.55072,0.75236,0.54372,1.5206,0.57229,0.00232,0.00170696,0.00170696,0.00170696
76,7337.94,1.31999,0.43893,0.00146,0.93271,0.56042,0.75634,0.5472,1.52313,0.57715,0.00231,0.001703,0.001703,0.001703
77,7434.58,1.32332,0.44406,0.00147,0.93722,0.5536,0.75409,0.53754,1.54842,0.56907,0.00237,0.00169904,0.00169904,0.00169904
78,7531.03,1.33375,0.46098,0.00147,0.93103,0.56146,0.75747,0.54652,1.51558,0.56782,0.00232,0.00169508,0.00169508,0.00169508
79,7627.02,1.31053,0.44712,0.00145,0.93324,0.54263,0.74759,0.53006,1.5872,0.57657,0.00244,0.00169112,0.00169112,0.00169112
80,7723.47,1.34543,0.44689,0.00144,0.93272,0.55418,0.75254,0.54363,1.5109,0.56007,0.00232,0.00168716,0.00168716,0.00168716
81,7819.72,1.31182,0.43758,0.00145,0.93765,0.54552,0.74928,0.54737,1.50101,0.55567,0.0023,0.0016832,0.0016832,0.0016832
82,7916.12,1.29754,0.43572,0.00144,0.94981,0.51375,0.73709,0.5417,1.52963,0.57989,0.00233,0.00167924,0.00167924,0.00167924
83,8012.79,1.3062,0.43634,0.00143,0.92564,0.56516,0.75498,0.54711,1.50223,0.55455,0.00231,0.00167528,0.00167528,0.00167528
84,8109.52,1.31712,0.43811,0.00143,0.94668,0.52923,0.74464,0.54695,1.51403,0.57407,0.00229,0.00167132,0.00167132,0.00167132
85,8205.89,1.31918,0.44078,0.00145,0.93374,0.54702,0.74956,0.54398,1.52326,0.56088,0.00231,0.00166736,0.00166736,0.00166736
86,8302.53,1.30598,0.43503,0.00144,0.9285,0.55661,0.75294,0.53891,1.56571,0.5987,0.00239,0.0016634,0.0016634,0.0016634
87,8398.86,1.26896,0.42326,0.0014,0.93642,0.54448,0.74853,0.55072,1.50208,0.56253,0.00229,0.00165944,0.00165944,0.00165944
88,8495.44,1.29426,0.43455,0.00145,0.94519,0.53396,0.74676,0.54406,1.52449,0.56294,0.00236,0.00165548,0.00165548,0.00165548
