epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,75096.9,2.16169,0.962,0.00309,0.72155,0.45055,0.5484,0.24022,2.39804,1.23174,0.00462,0.003426,0.001142,0.003426,0.001142,0.003426,0.001142,0.003426,0.001142
54,76241,2.17389,0.99312,0.00314,0.71681,0.4477,0.54562,0.23458,2.43673,1.24126,0.00474,0.0033765,0.0011255,0.0033765,0.0011255,0.0033765,0.0011255,0.0033765,0.0011255
55,77380.8,2.16818,0.93892,0.00313,0.69831,0.44844,0.54389,0.23606,2.43646,1.24855,0.00471,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
56,78489.1,2.15833,0.93762,0.00317,0.70843,0.45055,0.54657,0.24063,2.42875,1.25438,0.00472,0.0032775,0.0010925,0.0032775,0.0010925,0.0032775,0.0010925,0.0032775,0.0010925
57,79894.1,2.13577,0.94126,0.00312,0.71451,0.44281,0.53608,0.22887,2.44731,1.19965,0.00471,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076
58,81391.7,2.14331,0.93216,0.00307,0.70813,0.44489,0.54307,0.23383,2.46169,1.29575,0.00482,0.0031785,0.0010595,0.0031785,0.0010595,0.0031785,0.0010595,0.0031785,0.0010595
59,82534.1,2.17833,0.95368,0.00326,0.71165,0.4457,0.54831,0.23963,2.42963,1.27845,0.00474,0.003129,0.001043,0.003129,0.001043,0.003129,0.001043,0.003129,0.001043
60,83669.6,2.14662,0.90999,0.00308,0.70063,0.44894,0.54908,0.24163,2.4127,1.27629,0.00468,0.0030795,0.0010265,0.0030795,0.0010265,0.0030795,0.0010265,0.0030795,0.0010265
61,85138.5,2.15109,0.91467,0.00305,0.72422,0.45266,0.55335,0.2413,2.43411,1.18341,0.00481,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
62,86604.7,2.11659,0.91184,0.00302,0.72693,0.4479,0.55174,0.2428,2.40699,1.23079,0.0047,0.0029805,0.0009935,0.0029805,0.0009935,0.0029805,0.0009935,0.0029805,0.0009935
63,87702,2.10595,0.9102,0.00312,0.71558,0.45656,0.55456,0.24113,2.43369,1.21194,0.00475,0.002931,0.000977,0.002931,0.000977,0.002931,0.000977,0.002931,0.000977
64,88858.6,2.11672,0.91472,0.00312,0.70829,0.45113,0.55238,0.23441,2.47009,1.26258,0.00479,0.0028815,0.0009605,0.0028815,0.0009605,0.0028815,0.0009605,0.0028815,0.0009605
65,89997.6,2.10024,0.90102,0.00307,0.70952,0.44697,0.55252,0.24,2.43701,1.26613,0.00471,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944
66,91083.4,2.09982,0.89955,0.00307,0.72363,0.45876,0.55903,0.24465,2.41119,1.21412,0.0047,0.0027825,0.0009275,0.0027825,0.0009275,0.0027825,0.0009275,0.0027825,0.0009275
67,92238.9,2.09892,0.90097,0.00312,0.71361,0.45685,0.55702,0.24439,2.4068,1.24502,0.00469,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
68,93316.7,2.11305,0.89881,0.00306,0.72371,0.45876,0.55404,0.24518,2.38739,1.21134,0.00466,0.0026835,0.0008945,0.0026835,0.0008945,0.0026835,0.0008945,0.0026835,0.0008945
69,94721.9,2.08644,0.89091,0.00306,0.72164,0.46165,0.56016,0.24634,2.38242,1.21805,0.00461,0.002634,0.000878,0.002634,0.000878,0.002634,0.000878,0.002634,0.000878
70,96387.1,2.07921,0.90443,0.00309,0.71333,0.46255,0.56145,0.25136,2.3656,1.24405,0.00458,0.0025845,0.0008615,0.0025845,0.0008615,0.0025845,0.0008615,0.0025845,0.0008615
