epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,3784.34,2.08781,0.8412,0.00259,0.9593,0.19605,0.57747,0.33045,2.34794,0.98583,0.00381,0.00455212,0.00151737,0.00455212,0.00151737,0.00455212,0.00151737,0.00455212,0.00151737
41,3877.72,2.11714,0.84245,0.00257,0.95997,0.17733,0.56855,0.32933,2.35151,0.97543,0.0038,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
42,3970.86,2.08923,0.8413,0.00257,0.95283,0.21939,0.58592,0.33179,2.33832,0.96776,0.00378,0.00447788,0.00149263,0.00447788,0.00149263,0.00447788,0.00149263,0.00447788,0.00149263
43,4063.41,2.12572,0.84129,0.00258,0.95154,0.21095,0.58102,0.31324,2.43281,0.99288,0.00392,0.00444075,0.00148025,0.00444075,0.00148025,0.00444075,0.00148025,0.00444075,0.00148025
44,4156.54,2.09424,0.82404,0.00252,0.9616,0.19385,0.57766,0.33651,2.32187,0.96807,0.00375,0.00440362,0.00146787,0.00440362,0.00146787,0.00440362,0.00146787,0.00440362,0.00146787
45,4250.3,2.09118,0.82675,0.00258,0.95305,0.21811,0.5855,0.33791,2.31739,0.96185,0.00374,0.0043665,0.0014555,0.0043665,0.0014555,0.0043665,0.0014555,0.0043665,0.0014555
46,4344.08,2.13844,0.83737,0.00251,0.96807,0.18565,0.57644,0.3374,2.32193,0.96351,0.00376,0.00432937,0.00144312,0.00432937,0.00144312,0.00432937,0.00144312,0.00432937,0.00144312
47,4437.31,2.07565,0.81527,0.00252,0.94741,0.25185,0.59972,0.34259,2.30028,0.94933,0.00373,0.00429225,0.00143075,0.00429225,0.00143075,0.00429225,0.00143075,0.00429225,0.00143075
48,4530.85,2.06404,0.80472,0.00249,0.95401,0.22285,0.58844,0.3383,2.31749,0.95053,0.00373,0.00425513,0.00141838,0.00425513,0.00141838,0.00425513,0.00141838,0.00425513,0.00141838
49,4624.54,2.08443,0.82063,0.00252,0.95477,0.2195,0.58718,0.34456,2.29446,0.95869,0.00371,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
